MatrixSize,ConstructionTime,MatVecTime
1000,0.20517125,0.00098
2000,0.68242175,0.00213475
3000,1.8564425,0.0032605
4000,3.1371105,0.00816725
5000,5.30184925,0.00851425
6000,8.3402855,0.0115035
7000,13.3823225,0.016711
8000,19.57185825,0.02025425
