vareps,fp32,half,tf32,b
0.0001,5.32562273930731e-05,-1,0.000338347577019468,0.00438156066088543
1e-08,4.83276914846662e-09,0.000353924634196037,0.000304066467415801,0.0032138450529817
1e-12,4.74252451503697e-13,-1,0.000336961827759988,0.00322627232263448
