vareps,fp32,tf32,half,bf16
0.0001,6.88161208536173e-16,6.88161208536173e-16,6.88161208536173e-16,6.88161208536173e-16
1e-08,6.88161208536173e-16,6.88161208536173e-16,6.88161208536173e-16,6.88161208536173e-16
1e-12,6.88161208536173e-16,6.88161208536173e-16,6.88161208536173e-16,6.88161208536173e-16
