vareps,fp32,half,b
0.0001,2.23124897053429e-06,2.23124897053429e-06,2.23124897053429e-06
1e-08,2.15678132824646e-10,2.15678132824646e-10,2.15678132824646e-10
1e-12,1.94540427067308e-14,1.94540427067308e-14,1.94540427067308e-14
