vareps,fp32,half,b
0.0001,6.50012909205401e-16,6.50012909205401e-16,6.50012909205401e-16
1e-08,6.50012909205401e-16,6.50012909205401e-16,6.50012909205401e-16
1e-12,6.50012909205401e-16,6.50012909205401e-16,6.50012909205401e-16
